,SCHOOL_ID,NRC_DESC,COUNTY_DESC,ITEM_SUBJECT_AREA,GRADE,SUBGROUP_NAME,TOTAL_TESTED,MEAN_SCALE_SCORE_2017,MEAN_SCALE_SCORE_2018,MEAN_SCALE_SCORE_2019
101247,MONTESSORI MAGNET SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,3,All Students,38,309,598,596
101261,MONTESSORI MAGNET SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,3,All Students,37,301,598,592
101275,MONTESSORI MAGNET SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,4,All Students,36,314,607,602
101290,MONTESSORI MAGNET SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,4,All Students,33,311,604,605
101304,MONTESSORI MAGNET SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,5,All Students,36,305,607,602
101318,MONTESSORI MAGNET SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,5,All Students,36,303,607,607
101332,PINE HILLS ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,3,All Students,63,287,595,600
101347,PINE HILLS ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,3,All Students,65,295,593,597
101362,PINE HILLS ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,4,All Students,61,298,593,594
101377,PINE HILLS ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,4,All Students,61,280,585,592
101392,PINE HILLS ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,5,All Students,58,289,595,584
101407,PINE HILLS ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,5,All Students,57,289,589,581
101422,DELAWARE COMMUNITY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,3,All Students,60,273,585,587
101437,DELAWARE COMMUNITY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,3,All Students,62,276,581,585
101452,DELAWARE COMMUNITY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,4,All Students,65,275,587,586
